State,Status/API Vendor ,"Information as of date
(Date Completing the Survey)",Member support contact phone number,Member support contact email,"Do Members (Beneficiaries) have ability to view records of when and with whom their data have been shared via the API?
(drop-down list)",Production Base URL for Claims Data (CARIN BB),"Production Base URL for Member Health Data (PDex), if different then claims URL","Production Base URL for Formulary, if different then claims URL","Production Base URL for CHIP data, if different then Medicaid","Status
(drop-down list)",Patient Access API Implementation Date,FHIR Capability Statement Link,"Data Refresh Frequency (e.g. Real-Time, Hourly, Daily, Weekly, Monthly) ","Are claims, encounters, and clinical data stored by SMA with dates of service on or after January 1, 2016 available?","FHIR Version 
(drop-down list)",Authentication Implementation Details,"Authentication Protocol 
(drop-down list)",IG(s) and version(s) Supported URL(s),Does the API use the recommended Implementation Guides (Y/N drop-down list),Sandbox/Test URL(s),API Registration Info,Developer Support Contact Info,Provider Directory Production Base URL,"Status 
(drop-down list)",Provider Directory API Implementation Date,FHIR Capability Statement Link,"Data Refresh Frequency (e.g. Real-Time, Hourly, Daily, Weekly, Monthly) ","Is the API Public?
(Y/N drop-down list) ","FHIR Version
(drop-down list)
",IG(s) and version(s) Supported URL(s),Does the API use the recommended Implementation Guide (Y/N drop-down list),Sandbox/Test URL,"API registration Info (URL, email)",Developer Support Contact Info
Georgia,1up (Gainwell),4/27/2023,,"CareEvolution: fhir@careevolution.com

b.Well: support@icanbwell.com

OneRecord: support@onerecord.com

Flexpa: support@flexpa.com

mPowered: nandini@mpoweredhealth.com

1upHealth Patient App: support@1up.health",No,https://api.georgiafhir.com/r4/Explanationofbenefits,,"https://api.georgiafhir.com/r4/public/MedicationKnowledge

https://api.georgiafhir.com/r4/public/List",,Active,6/17/2022,https://api.georgiafhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application.
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access. ",Oauth 2.0,"Administrative Health Plan Data:

CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/

1.2.0 -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html
","1upHealth Support Portal:
https://1upsupport.force.com/s/","https://api.georgiafhir.com/r4/public/Practitioner

https://api.georgiafhir.com/r4/public/Organization

https://api.georgiafhir.com/r4/public/Location",Active,6/17/2022,https://api.georgiafhir.com/r4/metadata,Weekly,Yes,4.0.1,"DaVinci PDEX Plan Net:
http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

",1upHealth Support Portal: https://1upsupport.force.com/s/
Hawaii,Not  Implemented; MCO Enrollees >90%,N/A,N/A,N/A,,,,,,Not Yet Started,,,,,,,,,,,,,,Not Yet Started,,,,,,,,,,
Idaho,Safhir from Onyx,4/21/2023,866-686-4752,idparticipantservices@gainwelltechnologies.com,Yes,https://api-idmedicaid.safhir.io/v1/api/carin-bb/, ,https://api-idmedicaid.safhir.io/v1/api/secure-formulary, ,Active,1/15/2022,"https://api-idmedicaid.safhir.io/v1/api

 (URL to multiple Capability Statements)",Weekly,No,4.0.1,Identity Management is integrated with ID.Me ,Oauth 2.0,"Carin-BB (1.0.0)
DaVinci Payer Data Exchange US Drug Formulary (1.0.0)",Yes,https://api-ida-uat.safhir.io/v1/api,https://portal.safhir.io/portal/,support@onyxhealth.io,https://api-idmedicaid.safhir.io/v1/api/provider-directory,Active,1/15/2022,https://api-idmedicaid.safhir.io/v1/api/provider-directory/metadata,Weekly,Yes,4.0.1,PVD     - R4 - https://hl7.org/fhir/us/carin-bb/artifacts.html#3  - FHIR 4.0.1,Yes,https://api-ida-uat.safhir.io/v1/api,https://portal.safhir.io/portal/,support@onyxhealth.io
Illinois,Not Yet Implemented,6/1/2023,,,,,,,,Not yet started,2/1/2026,,,,,,,,,,,,,,9/1/2025,,,,,,,,,
Indiana,Not Yet Implemented,5/5/2023,TBD,TBD,,,,,,Not yet started,9/1/2025,,, , ,TBD, ,TBD, ,TBD,TBD,TBD,,Not Yet Started,9/1/2025,,, , ,,,,,
Iowa,1up (Gainwell),8/4/2023,,"CareEvolution: fhir@careevolution.com

OneRecord: support@onerecord.com",No,https://api.iowaFHIR.com/r4/Explanationofbenefits,,"https://api.iowafhir.com/r4/public/MedicationKnowledge

https://api.iowafhir.com/r4/public/List",,Active,6/28/2023,https://api.iowafhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application. 
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access. ",Oauth 2.0,"Administrative Health Plan Data: 

CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/

1.2.0 -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html
","1upHealth Support Portal: 
https://1upsupport.force.com/s/","https://api.iowafhir.com/r4/public/Practitioner

https://api.iowafhir.com/r4/public/Organization

https://api.iowafhir.com/r4/public/Location",Active,6/28/2023,https://api.iowafhir.com/r4/metadata,Weekly,Yes,4.0.1,"DaVinci PDEX Plan Net:
http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

",1upHealth Support Portal: https://1upsupport.force.com/s/
Kansas,1up (Gainwell),4/26/2023,"KMAP: 800-766-9012

1upHealth: 888-344-7187","CareEvolution: fhir@careevolution.com

OneRecord: support@onerecord.com

Note: These are the email addresses to contact specific applications. There is not a general member support email address. ",No,https://api.kansasfhir.com/r4/ExplanationOfBenefits,,"https://api.kansasfhir.com/r4/public/MedicationKnowledge
https://api.kansasfhir.com/r4/public/List
",,Active,7/1/2021,https://api.kansasfhir.com/r4/metadata,Claims - Daily,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application.
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access. ",Oauth 2.0,"Administrative

CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/
1.2.0 -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html
","1upHealth Support Portal:
https://1upsupport.force.com/s/","https://api.kansasfhir.com/r4/Public/Practitioner

https://api.kansasfhir.com/r4/public/Organization

https://api.kansasfhir.com/r4/public/Location",Active,7/1/2021,https://api.kansasfhir.com/r4/metadata,Weekly,Yes,4.0.1,"DaVinci PDEX Plan Net
http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

","1upHealth Support Portal:
https://1upsupport.force.com/s/ https://portal.kmap-state-ks.us/PublicPage/ProviderPricing/ProviderDirectorySearch
"
Kentucky,1up (Gainwell),4/27/2023,855-509-2450,"CareEvolution: fhir@careevolution.com

OneRecord: support@onerecord.com

Flexpa: support@flexpa.com

1upHealth Patient App: support@1up.health",No,https://api.kentuckyfhir.com/r4/Explanationofbenefits,,"https://api.kentuckyfhir.com/r4/public/MedicationKnowledge

https://api.kentuckyfhir.com/r4/public/List",,Active,3/30/2021,https://api.kentuckyfhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application.
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access. ",Oauth 2.0,"Administrative Health Plan Data:
CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/
1.2.0 -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html
","1upHealth Support Portal:
https://1upsupport.force.com/s/","https://api.kentuckyfhir.com/r4/public/Practitioner

https://api.kentuckyfhir.com/r4/public/Organization

https://api.kentuckyfhir.com/r4/public/Location",Active,3/30/2021,https://api.kentuckyfhir.com/r4/metadata,Weekly,Yes,4.0.1,"DaVinci PDEX Plan Net:
http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

",1upHealth Support Portal: https://1upsupport.force.com/s/
Louisiana,1up (Gainwell),4/26/2023,225-342-3855,mmisclaims@la.gov,No,https://api.louisianafhir.com/r4/Explanationofbenefits,,"https://api.louisianafhir.com/r4/public/MedicationKnowledge
https://api.louisianafhir.com/r4/public/List",,Active,3/2/2022,https://api.louisianafhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application. 
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access. ",Oauth 2.0,"Administrative Health Plan Data: 

CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/
1.2.0 -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html
","1upHealth Support Portal: 
https://1upsupport.force.com/s/","https://api.louisianafhir.com/r4/public/Practitioner

https://api.louisianafhir.com/r4/public/Organization

https://api.louisianafhir.com/r4/public/Location",Active,3/2/2022,https://api.louisianafhir.com/r4/metadata,Weekly,Yes,4.0.1,"DaVinci PDEX Plan Net:
http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

","1upHealth Support Portal: 
https://1upsupport.force.com/s/"
Maine,1up (Gainwell),4/27/2023,,"CareEvolution: fhir@careevolution.com

OneRecord: support@onerecord.com",No,https://api.mainefhir.com/r4/Explanationofbenefits,,"https://api.mainefhir.com/r4/public/MedicationKnowledge

https://api.mainefhir.com/r4/public/List",,Active,11/19/2021,https://api.mainefhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application.
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access. ",Oauth 2.0,"Administrative Health Plan Data:

CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/

1.2.0 -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html
","1upHealth Support Portal:
https://1upsupport.force.com/s/","https://maineproviderdirectory.verityanalytics.org/fhir/Practitioner

https://maineproviderdirectory.verityanalytics.org/fhir/Organization

https://maineproviderdirectory.verityanalytics.org/fhir/PractitionerRole

https://maineproviderdirectory.verityanalytics.org/fhir/Location

https://maineproviderdirectory.verityanalytics.org/fhir/OrganizationAffiliation",Active,11/19/2021,https://maineproviderdirectory.verityanalytics.org/fhir/metadata,Weekly,Yes,4.0.1,http://hl7.org/fhir/us/davinci-pdex-plan-net/,Yes,"https://devmaineproviderdirectory.verityanalytics.org/fhir/Practitioner
https://devmaineproviderdirectory.verityanalytics.org/fhir/Organization
https://devmaineproviderdirectory.verityanalytics.org/fhir/PractitionerRole
https://devmaineproviderdirectory.verityanalytics.org/fhir/Location
https://devmaineproviderdirectory.verityanalytics.org/fhir/OrganizationAffiliation",N/A (Anonymous access enabled),Kevin Rogers; Human Services Research Institute; krogers@hsri.org; tel:1-617-844-2301
Maryland,Safhir from Onyx,6/27/2023,"Senthil Annamalai
632-251-9006",Senthil.Annamalai@maryland.gov,No,https://api-crsp-prd.safhir.io/v1/api/carin-bb/openapi.json,,https://api-crsp-prd.safhir.io/v1/api/secure-formulary/openapi.json,,Active,11/5/2021,https://api-crsp-prd.safhir.io/v1/api,,Yes,4.0.1,Authentication handled by ID.me,Oauth 2.0,,Yes,https://dev.safhir.io/,,info@onyxhealth.io,https://md-medicaid.convergent-pd.com/fhir/{resource},Active,7/7/2021,https://maryland-medicaid-fhir-api.readme.io/reference/search,Real-Time,Yes,4.0.1,"Davinci pdex Plan Net, Release 1 - US Realm STU v1.1.0",Yes,https://maryland-medicaid-fhir-api.readme.io/reference/maryland-medicaid-api,,support@leaporbit.com
Massachusetts,1up (Gainwell),10/4/2024,800-841-2900,"CareEvolution: fhir@careevolution.com

OneRecord: support@onerecord.com

1upHealth Patient App: support@1up.health",No,https://api.masshealthfhir.com/r4/Explanationofbenefits,,"https://api.masshealthfhir.com/r4/public/MedicationKnowledge
https://api.masshealthfhir.com/r4/public/List",,Active,12/16/2022,https://api.masshealthfhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application. 
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access. ",Oauth 2.0,"Administrative Health Plan Data: 

CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/
1.2.0  -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html
","1upHealth Support Portal: 
https://1upsupport.force.com/s/","https://api.masshealthfhir.com/r4/public/Practitioner

https://api.masshealthfhir.com/r4/public/Organization

https://api.masshealthfhir.com/r4/public/Location",Active,12/16/2022,https://api.masshealthfhir.com/r4/metadata,Weekly,Yes,4.0.1,,Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

","1upHealth Support Portal: 
https://1upsupport.force.com/s/"
